MonthNumeric,MonthFactor,Year,AccordSales,Unemployment,AccordQueries,CPIAll,CPIEnergy,MilesTraveled
1,January,2014,20604,6.6,69,235.288,250.34,246531
2,February,2014,24622,6.7,74,235.547,249.925,249499
3,March,2014,33962,6.7,79,236.028,249.961,251120
4,April,2014,34124,6.2,74,236.468,249.864,251959
5,May,2014,39637,6.3,75,236.918,249.213,252289
6,June,2014,32329,6.1,76,237.231,249.714,252054
7,July,2014,35073,6.2,81,237.498,248.744,252111
8,August,2014,51075,6.1,80,237.46,245.699,252472
9,September,2014,32956,5.9,75,237.477,241.61,253485
10,October,2014,27189,5.7,70,237.43,237.061,254117
11,November,2014,25275,5.8,69,236.983,229.016,253099
12,December,2014,31589,5.6,63,236.252,218.536,255291
1,January,2015,21011,5.7,67,234.747,199.926,254967
2,February,2015,21616,5.5,69,235.342,203.021,254414
3,March,2015,26018,5.4,76,235.976,205.757,255735
4,April,2015,27251,5.4,74,236.222,203.577,257796
5,May,2015,32373,5.6,78,237.001,208.973,257531
6,June,2015,27477,5.3,79,237.657,212.015,258177
7,July,2015,34496,5.2,91,238.034,211.623,258012
8,August,2015,40931,5.1,85,238.033,208.579,259020
9,September,2015,33641,5,75,237.498,197.246,258671
10,October,2015,30121,5,77,237.733,195.616,257672
11,November,2015,25566,5.1,76,238.017,195.114,260006
12,December,2015,35056,5,72,237.761,190.143,261788
1,January,2016,20765,4.8,80,237.652,185.235,262611
2,February,2016,25785,4.9,85,237.336,176.401,261752
3,March,2016,30523,5,84,238.08,182.234,262392
4,April,2016,31526,5.1,82,238.992,186.713,264735
5,May,2016,31949,4.8,87,239.557,188.596,264565
6,June,2016,28806,4.9,87,240.222,192.899,264364
7,July,2016,31946,4.8,90,240.101,189.046,265645
8,August,2016,30115,4.9,86,240.545,188.772,264145
9,September,2016,27204,5,81,241.176,192.243,263573
10,October,2016,25551,4.9,79,241.741,195.979,266664
11,November,2016,27182,4.7,73,242.026,196.372,265314
12,December,2016,33783,4.7,75,242.637,199.513,267135
1,January,2017,19536,4.7,84,243.618,205.369,266509
2,February,2017,23455,4.6,83,244.006,204.133,265234
3,March,2017,26824,4.4,87,243.892,202.528,265123
4,April,2017,26938,4.5,81,244.193,202.954,270670
5,May,2017,33547,4.4,86,244.004,198.449,266153
6,June,2017,29791,4.3,94,244.163,197.808,266376
7,July,2017,30903,4.3,100,244.243,195.994,269548
8,August,2017,30019,4.4,93,245.183,201.45,267211
9,September,2017,29789,4.2,80,246.435,212.723,266506
10,October,2017,26740,4.1,89,246.626,208.328,268718
11,November,2017,22998,4.2,86,247.284,213.047,268212
12,December,2017,22115,4.1,90,247.805,213.574,272319
1,January,2018,17677,4,89,248.859,216.855,268361
2,February,2018,19753,4.1,94,249.529,220.141,267857
3,March,2018,24171,4,93,249.577,215.72,268556
4,April,2018,21751,4,90,250.227,219.165,273320
5,May,2018,28212,3.8,94,250.792,221.045,267556
6,June,2018,26726,4,92,251.018,220.947,269325
7,July,2018,24927,3.8,98,251.214,219.929,270452
8,August,2018,26725,3.8,95,251.663,222.781,267900
9,September,2018,25357,3.7,86,252.182,223.955,269877
10,October,2018,23778,3.8,84,252.772,226.022,270155
11,November,2018,23367,3.8,77,252.594,218.5,269052
12,December,2018,28627,3.9,81,252.767,213.63,277525
1,January,2019,18786,4,81,252.718,206.808,273421
2,February,2019,20254,3.8,84,253.322,209.143,272141
3,March,2019,25371,3.8,90,254.202,214.305,270920
4,April,2019,19239,3.7,84,255.211,222.3,271928
5,May,2019,23892,3.7,85,255.29,219.682,271676
6,June,2019,21893,3.6,85,255.159,213.339,269353
7,July,2019,24144,3.6,89,255.685,215.128,269606
8,August,2019,30558,3.7,88,256.059,213.335,276508
9,September,2019,20326,3.5,83,256.511,213.647,274195
10,October,2019,21689,3.6,78,257.244,216.546,272669
11,November,2019,21733,3.6,79,257.803,217.228,269800
12,December,2019,19682,3.6,71,258.616,221.757,269023
1,January,2020,15099,3.5,78,259.037,219.917,285452
2,February,2020,18216,3.5,79,259.248,214.991,284040
3,March,2020,13810,4.4,63,258.124,201.747,224870
4,April,2020,8851,14.8,60,256.092,183.034,167174
5,May,2020,17369,13.3,79,255.868,179.281,204304
6,June,2020,15409,11.1,85,256.986,187.134,235771
7,July,2020,17221,10.2,88,258.278,191.45,242159
8,August,2020,19167,8.4,80,259.411,194.238,251358
9,September,2020,20149,7.8,74,260.029,197.134,254995
10,October,2020,19185,6.9,77,260.286,196.479,255505
11,November,2020,15473,6.7,70,260.813,196.489,248198
12,December,2020,19509,6.7,71,262.035,206.14,249061
1,January,2021,13330,6.3,76,262.65,211.921,252702
2,February,2021,13293,6.2,75,263.638,220.267,245840
3,March,2021,19968,6,93,264.914,227.958,258686
4,April,2021,21035,6.1,91,266.67,228.338,256647
5,May,2021,26299,5.8,91,268.444,228.966,261366
6,June,2021,20782,5.9,87,270.559,232.389,265907
7,July,2021,16531,5.4,90,271.764,236.228,268899
8,August,2021,14576,5.2,85,272.87,242.84,263810
9,September,2021,12174,4.7,84,274.028,246.37,265052
10,October,2021,15386,4.6,80,276.522,255.277,265589
11,November,2021,14867,4.2,77,278.711,261.83,267303
12,December,2021,14435,3.9,74,280.887,268.081,266539
1,January,2022,10410,4,82,282.599,270.154,260912
2,February,2022,13971,3.8,89,284.61,277.447,266420
3,March,2022,17658,3.6,97,287.472,300.099,265870
4,April,2022,16788,3.6,87,288.611,297.19,263742
5,May,2022,11066,3.6,83,291.268,307.178,263242
6,June,2022,10529,3.6,88,294.728,328.339,261456
7,July,2022,7299,3.5,89,294.628,312.892,261345
8,August,2022,11619,3.7,85,295.32,300.736,265091
9,September,2022,11123,3.5,77,296.539,295.502,266668
10,October,2022,11751,3.7,78,297.987,300.477,267222
11,November,2022,13792,3.6,75,298.598,296.248,265122
12,December,2022,18606,3.5,74,298.99,287.176,263907
1,January,2023,14737,3.4,85,300.536,292.844,272032
2,February,2023,11509,3.6,86,301.648,291.212,269935
3,March,2023,16560,3.5,83,301.808,280.955,266938
4,April,2023,19297,3.4,83,302.918,282.536,267284
5,May,2023,20007,3.7,86,303.294,272.401,269320
6,June,2023,17735,3.6,91,303.841,274.044,268871